CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__SourceLookupField__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c,Description__c,SBQQ__SourceVariable__c,Errors,Id
EUR,a0c5E0000020LYTQA2,SalesListPriceValid__c,,10,IsValid__c,Quote Line,,0,,,,a0a5E000004m1Z4QAI
EUR,a0c5E0000020LYhQAM,ApprovalStatus__c,,10,,Quote,,,,,,a0a5E000004m1Z5QAI
EUR,a0c5E0000020LYgQAM,TF_PricePerUOMChange__c,"IF(PricingSystem__c <> 'Manual', 0, IF(PricePerUOM__c <> 0, ((PricePerUOM__c / TF_PricePerUOM__c) * 100 - 100), 0))",10,,Quote Line,,,,,,a0a5E000004m1Z6QAI
EUR,a0c5E0000020LYDQA2,SalesListPriceLog__c,"""Init1:"" + UOM__c",14,,Quote Line,,,,,,a0a5E000004m1Z7QAI
EUR,a0c5E0000020LYDQA2,UOM__c,"BLANKVALUE(UOM__c,
BLANKVALUE(SBQQ__Quote__r.TF_AccountUOM__c, BLANKVALUE(TF_BaseUOM__c, BLANKVALUE(StartUOM__c, 'KG'))))",15,,Quote Line,,,,,,a0a5E000004m1Z8QAI
EUR,a0c5E0000020LYVQA2,SalesListPriceValid__c,,15,IsValid__c,Quote Line,,,,,,a0a5E000004m1Z9QAI
EUR,a0c5E0000020LYXQA2,SalesListPriceValid__c,,15,IsValid__c,Quote Line,,0,,,,a0a5E000004m1ZAQAY
EUR,a0c5E0000020LYZQA2,UOM__c,"IF (BLANKVALUE(SearchSLPMarginQuantity__c, 0) < BLANKVALUE(SalesListPriceLower__c, 0), SLPUOM__c, UOM__c)",15,,Quote Line,,,,,,a0a5E000004m1ZBQAY
EUR,a0c5E0000020LYWQA2,SalesListPriceValid__c,,15,IsValid__c,Quote Line,,0,,,,a0a5E000004m1ZCQAY
EUR,a0c5E0000020LYUQA2,SalesListPriceValid__c,,15,IsValid__c,Quote Line,,0,,,,a0a5E000004m1ZDQAY
EUR,a0c5E0000020LYRQA2,SalesListPrice__c,null,15,,Quote Line,,0,,,,a0a5E000004m1ZEQAY
EUR,a0c5E0000020LYTQA2,SalesListPriceLower__c,,15,TF_Marginlower__c,Quote Line,,,,,,a0a5E000004m1ZFQAY
EUR,a0c5E0000020LYZQA2,UOMconversion__c,"IF (BLANKVALUE(SearchSLPMarginQuantity__c, 0) < BLANKVALUE(SalesListPriceLower__c, 0),  1, UOMconversion__c)",18,,Quote Line,,,,,,a0a5E000004m1ZGQAY
EUR,a0c5E0000020LYdQAM,MarkUp1__c,"IF (PricingSystem__c = 'List' || 'Parent' , 

BLANKVALUE(SalesListPriceMargin__c , 0) , 
MarkUp1__c)",20,,Quote Line,,0,,,,a0a5E000004m1ZHQAY
EUR,a0c5E0000020LYRQA2,SalesListPriceVal__c,,20,,Quote Line,,0,,,,a0a5E000004m1ZIQAY
EUR,a0c5E0000020LYSQA2,SalesListPriceVal__c,,20,PriceEUR__c,Quote Line,,0,,,,a0a5E000004m1ZJQAY
EUR,a0c5E0000020LYbQAM,SalesListPriceCostVal2__c,,20,PriceEUR__c,Quote Line,,Custom,,,,a0a5E000004m1ZKQAY
EUR,a0c5E0000020LYZQA2,SearchSLPMarginQuantity__c,"IF (BLANKVALUE(SearchSLPMarginQuantity__c, 0) < BLANKVALUE(SalesListPriceLower__c, 0), BLANKVALUE(SalesListPriceLower__c, 1), BLANKVALUE(SearchSLPMarginQuantity__c, 1))",20,,Quote Line,,,,,,a0a5E000004m1ZLQAY
EUR,a0c5E0000020LYWQA2,SalesListPriceLower__c,,20,TF_Marginlower__c,Quote Line,,,,,,a0a5E000004m1ZMQAY
EUR,a0c5E0000020LYUQA2,SalesListPriceLower__c,,20,TF_Marginlower__c,Quote Line,,0,,,,a0a5E000004m1ZNQAY
EUR,a0c5E0000020LYVQA2,SalesListPriceLower__c,,20,TF_Marginlower__c,Quote Line,,0,,,,a0a5E000004m1ZOQAY
EUR,a0c5E0000020LYKQA2,ProposedUOMprice__c,null,20,,Quote Line,,,,,,a0a5E000004m1ZPQAY
EUR,a0c5E0000020LYXQA2,SalesListPriceLower__c,,20,TF_Marginlower__c,Quote Line,,,,,,a0a5E000004m1ZQQAY
EUR,a0c5E0000020LYiQAM,PricePerUOM__c,"if (BLANKVALUE( Increase__c, 0) = 0, 

BLANKVALUE( PricePerUOM__c  , 0),

((Increase__c   + 1 ) *  BLANKVALUE( PrevUOMprice__c, 0) ) 
)",20,,Quote Line,,Custom,,,,a0a5E000004m1ZRQAY
EUR,a0c5E0000020LYQQA2,TotalCost__c,"BLANKVALUE( InboundCosts__c, 0)  +  
BLANKVALUE(WarehousingCosts__c, 0) +   
BLANKVALUE(OutboundCosts__c, 0) + 
BLANKVALUE(Surcharge__c,0) +
BLANKVALUE(Duties__c,0) +
BLANKVALUE(PrincipalRebate__c,0)",20,,Quote Line,,Custom,,,,a0a5E000004m1ZSQAY
EUR,a0c5E0000020LYTQA2,SalesListPriceVal__c,,20,PriceEUR__c,Quote Line,,Custom,,,,a0a5E000004m1ZTQAY
EUR,a0c5E0000020LYYQA2,SBQQ__Quantity__c,"if (BLANKVALUE(Quant__c, 0) = 0,  BLANKVALUE( SBQQ__Quantity__c, 1),
ROUND(BLANKVALUE(Quant__c, 0) / BLANKVALUE(UOMconversion__c, 1),4)
 )",20,,Quote Line,,Custom,,,,a0a5E000004m1ZUQAY
EUR,a0c5E0000020LYLQA2,TF_PriceBookEntry__c,,20,Id,Quote Line,,Custom,,,,a0a5E000004m1ZVQAY
EUR,a0c5E0000020LYNQA2,TF_PurchasePrice__c,"if (BLANKVALUE(TF_PurchasePrice__c, 0)= 0, null, TF_PurchasePrice__c * SBQQ__Quote__r.ExchangeEUR__c )",20,,Quote Line,,,,,,a0a5E000004m1ZWQAY
EUR,a0c5E0000020LYgQAM,TF_ApprovalNeeded__c,"IF (PricingSystem__c = ""Manual"", true, IF(PricingSystem__c = ""List"" || PricingSystem__c = ""Parent"", false, IF (TF_PricePerUOMChange__c <> 0, true, false)))",20,,Quote Line,,,,,,a0a5E000004m1ZXQAY
EUR,a0c5E0000020LYhQAM,TF_ChangeApproved__c,,20,,Quote,,false,,,,a0a5E000004m1ZYQAY
EUR,a0c5E0000020LYiQAM,Increase__c,,22,,Quote Line,,,,,,a0a5E000004m1ZZQAY
EUR,a0c5E0000020LYWQA2,SalesListPriceVal__c,,25,PriceEUR__c,Quote Line,,,,,,a0a5E000004m1ZaQAI
EUR,a0c5E0000020LYQQA2,TF_MarkedupAmount__c,"(BLANKVALUE(TF_NetListPrice__c, 0) + BLANKVALUE(TotalCost__c, 0) ) 
/
if (  BLANKVALUE(MarkUp1__c,0) >= 1 , 1, (1- BLANKVALUE(MarkUp1__c,0)))

- (BLANKVALUE(TF_NetListPrice__c, 0) + BLANKVALUE(TotalCost__c, 0))",45,,Quote Line,,0,,,,a0a5E000004m1ZbQAI
EUR,a0c5E0000020LYdQAM,TF_MarkedupAmount__c,"BLANKVALUE(SBQQ__SpecialPrice__c, 0) 
*
if (  BLANKVALUE(MarkUp1__c,0) >= 1 , 1, (  BLANKVALUE(MarkUp1__c,0) )
)",45,,Quote Line,,,,,,a0a5E000004m1ZcQAI
EUR,a0c5E0000020LYXQA2,PricingSystem__c,,45,,Quote Line,,List,,,,a0a5E000004m1ZdQAI
EUR,a0c5E0000020LYDQA2,PriceValidityEnd__c,"if (ISBLANK(PriceValidityEnd__c) = false , PriceValidityEnd__c,
if (ISBLANK( SBQQ__Quote__r.PriceValidityTo__c) = true, null, SBQQ__Quote__r.PriceValidityTo__c))",50,,Quote Line,,0,,,,a0a5E000004m1ZeQAI
EUR,a0c5E0000020LYRQA2,SalesListPriceMargin__c,,50,,Quote Line,,0,,,,a0a5E000004m1ZfQAI
EUR,a0c5E0000020LYQQA2,SBQQ__SpecialPrice__c,"BLANKVALUE ( TF_NetListPrice__c,0 ) + ( BLANKVALUE ( TotalCost__c, 0 ) / ( ( 1 - BLANKVALUE (VolDiscountPerc__c, 0 ) ) * 100 ) ) * 100  
+ 
	BLANKVALUE(TF_MarkedupAmount__c,0)",50,,Quote Line,,0,,,,a0a5E000004m1ZgQAI
EUR,a0c5E0000020LYZQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "":MinQtyf2"" + SearchSLPMarginQuantity__c + SalesListPriceLower__c",50,,Quote Line,,0,,,,a0a5E000004m1ZhQAI
