CurrencyIsoCode,Name,SBQQ__Template__c,SBQQ__BorderColor__c,SBQQ__BottomMargin__c,SBQQ__ColumnHeaderHidden__c,SBQQ__ConditionalPrintField__c,SBQQ__DisplayOrder__c,SBQQ__FilterField__c,SBQQ__FilterOperator__c,SBQQ__FilterValue__c,SBQQ__GroupField__c,SBQQ__KeepTogether__c,SBQQ__KeepWithNext__c,SBQQ__KeepWithPrevious__c,SBQQ__PageBreak__c,SBQQ__QuoteTotalsPrinted__c,SBQQ__RollUpField__c,SBQQ__SummaryDisplay__c,SBQQ__TopMargin__c,Key__c,SBQQ__Content__c,Errors,Id
USD,Renewal Goods USCA,a0s5E000003GcTbQAK,000000,0,false,IsRenewal__c,50,,,,,Auto,Auto,,,false,,,0,TS-2026,a175E000001tqnVQAQ,,a185E000000r9A7QAI
USD,GlobalBasis USCA,a0s5E000003GcTbQAK,000000,0,false,IsGlobalBasis__c,55,ContractQty__c,equals,True,,Auto,Auto,,,false,,,0,TS-2028,a175E000001tqncQAA,,a185E000000r9A8QAI
USD,GlobalFullDetails USCA,a0s5E000003GcTbQAK,000000,0,false,IsGlobalFullDetails__c,55,,,,,Auto,Auto,,,false,,,0,TS-2029,a175E000001tqnDQAQ,,a185E000000r9A9QAI
USD,GlobalAvailability USCA,a0s5E000003GcTbQAK,000000,0,false,IsGlobalAvailability__c,55,,,,,Auto,Auto,,,false,,,0,TS-2030,a175E000001tqngQAA,,a185E000000r9AAQAY
USD,GlobalSurcharge USCA,a0s5E000003GcTbQAK,000000,0,false,IsGlobalSurcharge__c,55,,,,,Auto,Auto,,,false,,,0,TS-2031,a175E000001tqnhQAA,,a185E000000r9ABQAY
USD,Quote Comments USCA,a0s5E000003GcTbQAK,000000,0,false,,60,,,,,Auto,Auto,,,false,,,0,TS-2032,a175E000001tqnSQAQ,,a185E000000r9ACQAY
USD,Salesrep Details USCA,a0s5E000003GcTbQAK,000000,0,false,,70,,,,,Auto,Auto,,,false,,,0,TS-2033,a175E000001tqnKQAQ,,a185E000000r9ADQAY
USD,Exchange Rate Base USCA,a0s5E000003GcTbQAK,,0,false,IsExchangeRateBase__c,74,,,,,Auto,Auto,,,false,,,0,TS-2035,a175E000001tqneQAA,,a185E000000r9AEQAY
USD,Customer Clearance Terms USCA,a0s5E000003GcTbQAK,,0,false,CustomerClearance__c,75,,,,,Auto,Auto,,,false,,,0,TS-2036,a175E000001tqnCQAQ,,a185E000000r9AFQAY
USD,Customer Unpacking Terms USCA,a0s5E000003GcTbQAK,,0,false,CustomerUnpacking__c,76,,,,,Auto,Auto,,,false,,,0,TS-2037,a175E000001tqnfQAA,,a185E000000r9AGQAY
USD,Currency Surcharge Terms USCA,a0s5E000003GcTbQAK,,0,false,CurrencySurchargeStatement__c,77,,,,,Auto,Auto,,,false,,,0,TS-2038,a175E000001tqnGQAQ,,a185E000000r9AHQAY
USD,Fuel Surcharge Terms USCA,a0s5E000003GcTbQAK,,0,false,FuelSurchargeStatement__c,78,,,,,Auto,Auto,,,false,,,0,TS-2039,a175E000001tqnFQAQ,,a185E000000r9AIQAY
USD,Standard Terms USCA,a0s5E000003GcTbQAK,000000,0,false,,80,,,,,Auto,Auto,,,true,,Always,0,TS-2040,a175E000001tqnUQAQ,,a185E000000r9AJQAY
USD,Small Letters TC USCA,a0s5E000003GcTbQAK,,0,false,,100,,,,,Auto,Auto,,Before,false,,,0,TS-2041,a175E000001tqnRQAQ,,a185E000000r9AKQAY
EUR,Transport Method (asian),a0s5E000003GcTaQAK,,0,false,Is_ANZ__c,56,,,,,Auto,Auto,,,false,,,0,TS-2020,a175E000001tqnMQAQ,,a185E000000r9ALQAY
EUR,Transport Method,a0s5E000003GcTXQA0,,0,false,Is_ANZ__c,73,,,,,Auto,Auto,,,false,,,0,TS-2019,a175E000001tqnLQAQ,,a185E000000r9AMQAY
EUR,Transport Method USCA,a0s5E000003GcTbQAK,,0,false,Is_ANZ__c,73,,,,,Auto,Auto,,,false,,,0,TS-2034,a175E000001tqnLQAQ,,a185E000000r9ANQAY
